2026/01/01 08:49:25 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN token_hash TEXT;" error="SQL logic error: duplicate column name: token_hash (1)"
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /api/v1/metrics           --> main.main.func2 (4 handlers)
2026/01/01 08:49:25 Server executing on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/01/01 - 08:49:37 | 200 |   10.830978ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:37 | 401 |      29.147µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:37 | 401 |      24.923µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:37 | 401 |      25.316µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:38 | 200 |   10.832469ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:38 | 401 |      25.105µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:38 | 401 |      26.314µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:38 | 401 |      26.058µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:39 | 200 |    10.80475ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:39 | 401 |      28.775µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:39 | 401 |      24.225µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:39 | 401 |      27.838µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:40 | 200 |   10.774416ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:40 | 401 |      27.543µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:40 | 401 |      24.315µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:40 | 401 |      29.324µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:41 | 200 |   10.842454ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 08:49:41 | 401 |      25.384µs |       127.0.0.1 | POST     "/api/v1/metrics"
