2026/01/01 09:32:53 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN token_hash TEXT;" error="SQL logic error: duplicate column name: token_hash (1)"
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func2 (4 handlers)
[GIN-debug] GET    /api/v1/agents            --> main.main.func3 (4 handlers)
[GIN-debug] PUT    /api/v1/agents/:id/metadata --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id --> main.main.func5 (4 handlers)
[GIN-debug] POST   /api/v1/metrics           --> main.main.func6 (5 handlers)
2026/01/01 09:32:53 Server executing on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/01/01 - 09:33:02 | 401 |     153.622µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:02 | 200 |   11.138509ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:02 | 200 |     660.861µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 09:33:02 | 401 |      33.629µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:02 | 401 |      27.361µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:02 | 401 |      46.928µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:03 | 401 |     151.119µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:03 | 200 |   11.080859ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:03 | 401 |      26.577µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:03 | 401 |      31.071µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:03 | 401 |      29.745µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:04 | 401 |      197.29µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:04 | 200 |   11.117557ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:04 | 401 |       28.43µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:04 | 401 |      38.577µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:04 | 401 |      28.989µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:05 | 401 |     162.779µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:05 | 200 |   11.296378ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:05 | 200 |     468.442µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 09:33:05 | 401 |      41.086µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:05 | 401 |      29.853µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:05 | 401 |      36.407µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:06 | 401 |     149.422µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:06 | 200 |   10.991234ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:06 | 200 |     231.093µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 09:33:06 | 401 |      74.049µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:06 | 401 |       49.35µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:06 | 401 |       29.27µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:07 | 401 |     149.406µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:07 | 200 |    11.44017ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:07 | 401 |      35.362µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:07 | 401 |      27.643µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:07 | 401 |      40.992µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:08 | 401 |     187.983µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:08 | 200 |   11.125422ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:08 | 200 |     486.187µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 09:33:08 | 401 |      52.935µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:08 | 401 |      90.467µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:08 | 401 |      53.506µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:09 | 401 |      213.47µs |       127.0.0.1 | POST     "/api/v1/metrics"
