[GIN] 2026/01/01 - 12:14:56 | 401 |      67.692µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:57 | 401 |     163.304µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:57 | 401 |      26.793µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:57 | 401 |      51.134µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:58 | 401 |     377.623µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:58 | 401 |      29.316µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:58 | 401 |      34.774µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:59 | 401 |     352.444µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:59 | 401 |      29.598µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:59 | 401 |        25.3µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:00 | 401 |      342.35µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:00 | 401 |      28.751µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:00 | 401 |      24.126µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:01 | 401 |     344.259µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:01 | 401 |      30.522µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:01 | 401 |      28.456µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:02 | 401 |     193.822µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:02 | 401 |      39.011µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:02 | 401 |      24.155µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:03 | 401 |     175.046µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:03 | 401 |      30.414µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:03 | 401 |      30.061µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:04 | 401 |     294.207µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:04 | 401 |      29.304µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:04 | 401 |      57.928µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:05 | 401 |     342.903µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:05 | 401 |      26.372µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:05 | 401 |      25.239µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:06 | 401 |     194.132µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:06 | 401 |      48.549µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:06 | 401 |      23.715µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:07 | 401 |     146.521µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:07 | 401 |      30.015µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:07 | 401 |      22.886µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:08 | 401 |     221.574µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:08 | 401 |      29.091µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:08 | 401 |       22.98µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:09 | 401 |     517.152µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:09 | 401 |      34.227µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:09 | 401 |      35.058µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:10 | 200 |      342.33µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 12:15:10 | 200 |     869.129µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 12:15:10 | 200 |     481.939µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/network"
[GIN] 2026/01/01 - 12:15:10 | 200 |     598.118µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/latency"
[GIN] 2026/01/01 - 12:15:10 | 200 |     317.526µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 12:15:10 | 401 |     303.639µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:10 | 401 |      37.273µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:10 | 401 |      42.251µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:11 | 401 |     174.888µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:11 | 401 |      29.936µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:11 | 401 |      32.108µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:12 | 401 |     173.618µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:12 | 401 |      51.258µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:12 | 401 |      32.903µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:13 | 401 |     164.998µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:13 | 401 |      26.446µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:13 | 401 |      33.838µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:14 | 401 |      195.13µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:14 | 401 |      26.719µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:14 | 401 |      28.825µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:15:15 | 200 |     165.808µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 12:15:15 | 200 |     174.521µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 12:15:15 | 200 |     661.784µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 12:15:15 | 200 |     276.121µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/network"
